"Job Title","Location","Date","YEAR"
"Data Analyst","Anywhere","2023-09-25 17:46:06","2023"
"Data Analyst","West Bridgewater, MA","2023-03-02 09:00:54","2023"
"Data Analyst","Naperville, IL","2023-04-26 21:02:49","2023"
"Data Engineer","Canada","2023-05-25 06:27:07","2023"
"Data Engineer","Munich, Germany","2023-05-26 16:20:12","2023"
"Data Analyst","United Kingdom","2023-09-28 20:47:03","2023"
"Data Analyst","Budapest, Hungary","2023-12-05 11:21:38","2023"
"Data Scientist","Singapore","2023-03-04 09:15:52","2023"
"Data Scientist","Tualatin, OR","2023-12-20 21:02:39","2023"
"Senior Data Analyst","India","2023-02-14 07:27:09","2023"
"Data Engineer","Raritan, NJ","2023-11-28 15:08:57","2023"
"Data Engineer","Singapore","2023-05-30 00:20:42","2023"
"Data Analyst","Singapore","2023-09-03 23:32:21","2023"
"Data Engineer","Lima, Peru","2023-01-15 06:19:36","2023"
"Data Engineer","Anywhere","2023-09-09 10:04:46","2023"
"Data Analyst","India","2023-09-04 16:08:08","2023"
"Data Scientist","Patuxent River, MD","2023-06-06 16:02:57","2023"
"Data Engineer","Gurugram, Haryana, India","2023-09-19 22:12:30","2023"
"Data Scientist","Orlando, FL","2023-03-30 15:02:45","2023"
"Data Scientist","Anywhere","2023-09-05 20:19:37","2023"
"Senior Data Engineer","","2023-05-16 19:07:26","2023"
"Data Engineer","Anywhere","2023-12-01 14:43:40","2023"
"Software Engineer","Bangkok, Thailand","2023-01-12 16:41:26","2023"
"Data Analyst","Addison, TX","2023-07-15 10:01:03","2023"
"Data Engineer","Portugal","2023-03-23 16:29:35","2023"
"Data Scientist","Minsk, Belarus","2023-09-06 13:39:27","2023"
"Data Scientist","Isleworth, UK","2023-09-08 12:54:07","2023"
"Data Engineer","Singapore","2023-02-16 10:31:10","2023"
"Data Engineer","Bodega Bay, CA","2023-08-23 09:03:55","2023"
"Senior Data Scientist","Compton, CA","2023-12-04 16:03:35","2023"
"Data Scientist","Paris, France","2023-01-13 16:15:07","2023"
"Data Analyst","Goussainville, France","2023-11-02 16:25:22","2023"
"Data Analyst","Dubai - United Arab Emirates","2023-01-15 16:28:37","2023"
"Data Scientist","Burnsville, NC","2023-10-12 22:07:42","2023"
"Data Scientist","Lithia Springs, GA","2023-02-10 10:22:01","2023"
"Data Engineer","Germany","2023-02-07 11:21:11","2023"
"Data Scientist","Reading, UK","2023-07-18 16:36:32","2023"
"Data Engineer","Posadas, Misiones Province, Argentina","2023-01-24 22:27:11","2023"
"Senior Data Engineer","Anywhere","2023-10-10 09:09:08","2023"
"Data Engineer","New South Wales, Australia","2023-03-11 00:24:15","2023"
"Data Analyst","Anywhere","2023-09-26 14:02:24","2023"
"Data Engineer","Tampa, FL","2023-08-29 16:25:23","2023"
"Senior Data Scientist","Germany","2023-11-30 15:18:48","2023"
"Data Analyst","Belgium","2023-10-25 16:06:16","2023"
"Data Engineer","Anywhere","2023-05-27 08:15:45","2023"
"Data Engineer","Harrisburg, PA","2023-03-12 18:10:29","2023"
"Data Engineer","Orlando, FL","2023-06-07 19:27:10","2023"
"Data Scientist","Norfolk, VA","2023-04-17 18:38:32","2023"
