"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
2,1364,"Data Analyst","Data Analyst Data Translator","Naperville, IL","via LinkedIn","Full-time","False","Illinois, United States","2023-04-26 21:02:49","False","False","United States","","",""
47,49,"Data Scientist","Tech Excellence Data Scientist, Junior - Now Hiring","Norfolk, VA","via Snagajob","Full-time","False","Georgia","2023-04-17 18:38:32","False","True","United States","","",""
51,25981,"Senior Data Analyst","Senior Data Analyst","Stockholm, Sweden","via Trabajo.org","Full-time","False","Sweden","2023-04-21 15:32:08","True","False","Sweden","","",""
76,3,"Data Engineer","Data Engineer","Denver, CO","via LinkedIn","Contractor","False","Illinois, United States","2023-04-03 17:14:45","False","False","United States","hour","","70.0"
92,567444,"Software Engineer","Software Engineer in Data Engineering Team","Wrocław, Poland","via Adzuna.pl","Full-time","False","Poland","2023-04-27 08:25:37","True","False","Poland","","",""
95,16992,"Data Analyst","Data Analyst","Lisbon, Portugal","via Empregos Trabajo.org","Full-time","False","Portugal","2023-04-11 21:22:15","False","False","Portugal","","",""
100,14687,"Data Scientist","Data Scientist","Guatemala City, Guatemala","via Whatjobs? Jobs In The Guatemala","Full-time","False","Guatemala","2023-04-11 23:49:57","False","False","Guatemala","","",""
114,101459,"Data Analyst","Data Analyst (Remote)","Philadelphia, PA","via ZipRecruiter","Full-time","False","New York, United States","2023-04-17 10:00:29","False","False","United States","","",""
134,9,"Data Engineer","Data Engineer Remote / Telecommute Jobs","Anywhere","via Clearance Jobs","Full-time","True","Georgia","2023-04-27 17:38:56","True","False","United States","","",""
135,453,"Senior Data Engineer","Senior Data Engineer","Portland, OR","via My ArkLaMiss Jobs","Full-time","False","Florida, United States","2023-04-20 07:06:46","True","True","United States","","",""
138,44240,"Senior Data Engineer","Senior Data Engineer","Alpharetta, GA","via LinkedIn","Full-time","False","New York, United States","2023-04-22 11:04:54","False","False","United States","","",""
153,106985,"Data Analyst","Procurement Data Analyst","Anywhere","via ZipRecruiter","Full-time","True","New York, United States","2023-04-01 06:00:36","False","True","United States","","",""
166,1698,"Data Engineer","Data Engineer","Lisbon, Portugal","via BeBee Portugal","Full-time","False","Portugal","2023-04-17 16:26:28","True","False","Portugal","","",""
167,13,"Data Engineer","Data Engineer","Atlanta, GA","via LinkedIn","Full-time","False","Florida, United States","2023-04-13 17:14:34","False","False","United States","","",""
173,19828,"Senior Data Scientist","Senior Data Scientist, Trust & Safety and Support Operations","Anywhere","via Startup Jobs","Full-time","True","Illinois, United States","2023-04-12 12:21:34","False","False","United States","","",""
197,13354,"Data Scientist","Data-инженер","Kazan, Russia","via hh.ru","Full-time","False","Russia","2023-04-18 14:41:23","True","False","Russia","","",""
216,147614,"Data Engineer","Data Engineer","Anywhere","via LinkedIn","Contractor","True","Sudan","2023-04-29 04:57:24","False","False","Sudan","hour","","85.0"
217,17,"Data Analyst","Data Analyst","Anywhere","via LinkedIn","Full-time","True","Poland","2023-04-12 17:48:34","True","False","Poland","","",""
241,1476,"Data Analyst","Data Analyst","San Antonio, TX","via Trabajo.org","Full-time","False","Texas, United States","2023-04-10 10:00:56","True","False","United States","","",""
265,41110,"Data Engineer","Sr Data Engineer","Social Circle, GA","via HireSmart","Full-time","False","Texas, United States","2023-04-13 19:11:31","False","True","United States","","",""
