"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
13,15638,"Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org","Full-time","False","Peru","2023-01-15 06:19:36","False","False","Peru","","",""
22,1749,"Software Engineer","Software Engineer","Bangkok, Thailand","via JobTH","Full-time","False","Thailand","2023-01-12 16:41:26","True","False","Thailand","","",""
30,139524,"Data Scientist","Data Scientist en stage (F/H)","Paris, France","via LinkedIn","Full-time","False","France","2023-01-13 16:15:07","False","False","France","","",""
32,139526,"Data Analyst","Data Analyst","Dubai - United Arab Emirates","via Trabajo.org","Full-time","False","United Arab Emirates","2023-01-15 16:28:37","False","False","United Arab Emirates","","",""
37,11592,"Data Engineer","Big Data Engineer (m/w/d)","Posadas, Misiones Province, Argentina","via LinkedIn","Full-time","False","Argentina","2023-01-24 22:27:11","True","False","Argentina","","",""
56,605,"Data Scientist","AI & Data Architecture Specialist Master","Stamford, CT","via LinkedIn","Full-time","False","New York, United States","2023-01-15 16:00:20","False","False","United States","","",""
80,137815,"Senior Data Analyst","Senior Data Analyst","Riyadh Saudi Arabia","via BeBee","Full-time","False","Saudi Arabia","2023-01-27 05:37:02","True","False","Saudi Arabia","","",""
83,8930,"Data Analyst","Data Analyst III. Job in Fort Sam Houston My Valley Jobs Today","Fort Sam Houston, TX","via My Valley Jobs Today","Full-time","False","Texas, United States","2023-01-25 07:01:46","False","True","United States","","",""
84,352892,"Data Scientist","Data Scientist","Mumbai, Maharashtra, India","via Bayt.com","Full-time","False","India","2023-01-11 00:27:46","False","False","India","","",""
102,143,"Data Scientist","Data Scientist","Trenton, AL","via ComputerJobs.com","Full-time","False","Florida, United States","2023-01-14 13:05:55","False","True","United States","","",""
105,5,"Data Analyst","Data Analyst","Bangkok, Thailand","via Jobtopgun.com","Full-time","False","Thailand","2023-01-29 17:16:56","False","False","Thailand","","",""
112,10326,"Business Analyst","Senior Market Analyst - IT Services","South Korea","via 인디드","Full-time","False","South Korea","2023-01-20 01:23:32","True","False","South Korea","","",""
150,181294,"Data Engineer","Data Engineer II","Dallas, TX","via SimplyHired","Full-time","False","Illinois, United States","2023-01-27 20:11:45","False","True","United States","","",""
151,5719,"Data Engineer","Data Engineer","Crane, MO","via Monster","Full-time","False","Texas, United States","2023-01-09 07:08:09","False","True","United States","","",""
158,2469,"Senior Data Analyst","Senior Data Analyst","Baxter, CA","via LinkedIn","Full-time","False","California, United States","2023-01-02 20:00:28","True","False","United States","","",""
159,84430,"Data Scientist","Data Scientist Manager","Stockholm, Sweden","via Trabajo.org","Full-time","False","Sweden","2023-01-27 22:14:39","False","False","Sweden","","",""
175,13988,"Data Engineer","Data Engineer / Data Science","Bangkok, Thailand","via JobThai","Full-time","False","Thailand","2023-01-05 06:36:25","False","False","Thailand","","",""
192,109078,"Data Analyst","Data Analyst","Aveiro, Portugal","via BeBee Portugal","Full-time","False","Portugal","2023-01-16 09:00:42","True","False","Portugal","","",""
199,5458,"Senior Data Scientist","Senior Product Data Scientist, Advertising","Anywhere","via LinkedIn","Full-time","True","Illinois, United States","2023-01-19 00:07:22","False","True","United States","","",""
224,24109,"Data Analyst","Data Analyst","Bangkok, Thailand","via Trabajo.org","Full-time","False","Thailand","2023-01-24 02:16:22","True","False","Thailand","","",""
