"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
1,617,"Data Analyst","Sr. Data Analyst","West Bridgewater, MA","via Adzuna","Full-time","False","New York, United States","2023-03-02 09:00:54","False","True","United States","","",""
7,41083,"Data Scientist","Data Scientist, SAPMENA","Singapore","via Ricebowl","Full-time","False","Singapore","2023-03-04 09:15:52","False","False","Singapore","","",""
18,605,"Data Scientist","Data Scientist","Orlando, FL","via LinkedIn","Full-time","False","Florida, United States","2023-03-30 15:02:45","False","False","United States","","",""
24,104244,"Data Engineer","Data Engineer","Portugal","via LinkedIn","Full-time","False","Portugal","2023-03-23 16:29:35","False","False","Portugal","","",""
39,48150,"Data Engineer","Big Data Engineer","New South Wales, Australia","via Jobrapido.com","Full-time","False","Australia","2023-03-11 00:24:15","True","False","Australia","","",""
45,303,"Data Engineer","Manager, Data Engineer - Full-time / Part-time","Harrisburg, PA","via Snagajob","Full-time","False","California, United States","2023-03-12 18:10:29","False","False","United States","","",""
48,5262,"Data Analyst","RWE Data Analyst","Hyderabad, Telangana, India","via LinkedIn","Full-time","False","India","2023-03-19 06:31:36","True","False","India","","",""
50,10783,"Data Analyst","Marketing Data Analyst (Google Pro)","Austin, TX","via LinkedIn","","False","Texas, United States","2023-03-09 21:01:56","True","False","United States","","",""
53,139758,"Data Engineer","Data Engineer","Madrid, Spain","via Boston Consulting Group","Full-time","False","Spain","2023-03-22 07:35:34","True","False","Spain","","",""
54,70329,"Data Engineer","Data Engineer","Des Moines, IA","via LinkedIn","Full-time","False","Sudan","2023-03-30 00:54:18","False","False","Sudan","","",""
75,8714,"Software Engineer","Senior Open Source Software Platform Engineer","Cyberjaya, Selangor, Malaysia","via Trabajo.org","Full-time","False","Malaysia","2023-03-27 07:32:02","False","False","Malaysia","","",""
79,1497,"Data Engineer","Data Engineer","Bucharest, Romania","via LinkedIn","Full-time","False","Romania","2023-03-01 11:30:59","False","False","Romania","","",""
81,4,"Data Engineer","Data Engineer","Anywhere","via LinkedIn","Contractor","True","Canada","2023-03-25 17:25:20","False","False","Canada","","",""
94,4225,"Data Scientist","Expressions of Interest - Lead Data Scientist","Canada","via ZipRecruiter","Full-time","False","Canada","2023-03-22 18:33:19","False","False","Canada","","",""
111,6499,"Senior Data Scientist","Senior Data Scientist","Bengaluru, Karnataka, India","via Boston Consulting Group","Full-time","False","India","2023-03-01 12:22:53","False","False","India","","",""
115,248535,"Data Analyst","Data Analyst","Johannesburg, South Africa","via LinkedIn","Full-time","False","South Africa","2023-03-23 07:34:38","True","False","South Africa","","",""
127,37831,"Data Engineer","Data Engineer","New York, NY","via LinkedIn","Full-time","False","Illinois, United States","2023-03-16 12:12:49","False","False","United States","","",""
152,177126,"Data Analyst","Internship / Stage - Data Analyst Transport","Hanover, Germany","via BeBee Deutschland","","False","Germany","2023-03-31 14:15:23","False","False","Germany","","",""
165,1198,"Data Scientist","Executive Manager, Data Science","Pune, Maharashtra, India","via BeBee India","Full-time","False","India","2023-03-12 22:16:49","False","False","India","","",""
171,1883,"Data Engineer","Data Engineer III","Los Angeles, CA","via My ArkLaMiss Jobs","Full-time","False","California, United States","2023-03-11 23:08:06","False","True","United States","","",""
