"name","total_jobs"
"Cryptology","4"
"Edraak","2"
"Groupe ADP","10"
"Interactive Resources - iR","29"
"Cybernetic Search","40"
"SiS Distribution (Thailand) Public Co., Ltd.","1"
"FullStack Labs","348"
"Proofpoint","59"
"Huron Consulting Group Inc.","7"
"Alku","2"
"Signify Technology","219"
"Cloudwall Capital SG","2"
"Agoda","649"
"Genuine Parts Company","71"
"Karius","8"
"Verdant Infotech Solutions","39"
"Resurs Bank","2"
"DevsData Tech Talent LLC - IT Recruitment","16"
"Engtal","29"
"Enlighten","10"
