"Job Title","Job Location","Date","MONTH"
"Data Analyst","Anywhere","2023-09-25 17:46:06","9"
"Data Analyst","West Bridgewater, MA","2023-03-02 09:00:54","3"
"Data Analyst","Naperville, IL","2023-04-26 21:02:49","4"
"Data Engineer","Canada","2023-05-25 06:27:07","5"
"Data Engineer","Munich, Germany","2023-05-26 16:20:12","5"
"Data Analyst","United Kingdom","2023-09-28 20:47:03","9"
"Data Analyst","Budapest, Hungary","2023-12-05 11:21:38","12"
"Data Scientist","Singapore","2023-03-04 09:15:52","3"
"Data Scientist","Tualatin, OR","2023-12-20 21:02:39","12"
"Senior Data Analyst","India","2023-02-14 07:27:09","2"
"Data Engineer","Raritan, NJ","2023-11-28 15:08:57","11"
"Data Engineer","Singapore","2023-05-30 00:20:42","5"
"Data Analyst","Singapore","2023-09-03 23:32:21","9"
"Data Engineer","Lima, Peru","2023-01-15 06:19:36","1"
"Data Engineer","Anywhere","2023-09-09 10:04:46","9"
"Data Analyst","India","2023-09-04 16:08:08","9"
"Data Scientist","Patuxent River, MD","2023-06-06 16:02:57","6"
"Data Engineer","Gurugram, Haryana, India","2023-09-19 22:12:30","9"
"Data Scientist","Orlando, FL","2023-03-30 15:02:45","3"
"Data Scientist","Anywhere","2023-09-05 20:19:37","9"
"Senior Data Engineer","","2023-05-16 19:07:26","5"
"Data Engineer","Anywhere","2023-12-01 14:43:40","12"
"Software Engineer","Bangkok, Thailand","2023-01-12 16:41:26","1"
"Data Analyst","Addison, TX","2023-07-15 10:01:03","7"
"Data Engineer","Portugal","2023-03-23 16:29:35","3"
"Data Scientist","Minsk, Belarus","2023-09-06 13:39:27","9"
"Data Scientist","Isleworth, UK","2023-09-08 12:54:07","9"
"Data Engineer","Singapore","2023-02-16 10:31:10","2"
"Data Engineer","Bodega Bay, CA","2023-08-23 09:03:55","8"
"Senior Data Scientist","Compton, CA","2023-12-04 16:03:35","12"
"Data Scientist","Paris, France","2023-01-13 16:15:07","1"
"Data Analyst","Goussainville, France","2023-11-02 16:25:22","11"
"Data Analyst","Dubai - United Arab Emirates","2023-01-15 16:28:37","1"
"Data Scientist","Burnsville, NC","2023-10-12 22:07:42","10"
"Data Scientist","Lithia Springs, GA","2023-02-10 10:22:01","2"
"Data Engineer","Germany","2023-02-07 11:21:11","2"
"Data Scientist","Reading, UK","2023-07-18 16:36:32","7"
"Data Engineer","Posadas, Misiones Province, Argentina","2023-01-24 22:27:11","1"
"Senior Data Engineer","Anywhere","2023-10-10 09:09:08","10"
"Data Engineer","New South Wales, Australia","2023-03-11 00:24:15","3"
"Data Analyst","Anywhere","2023-09-26 14:02:24","9"
"Data Engineer","Tampa, FL","2023-08-29 16:25:23","8"
"Senior Data Scientist","Germany","2023-11-30 15:18:48","11"
"Data Analyst","Belgium","2023-10-25 16:06:16","10"
"Data Engineer","Anywhere","2023-05-27 08:15:45","5"
"Data Engineer","Harrisburg, PA","2023-03-12 18:10:29","3"
"Data Engineer","Orlando, FL","2023-06-07 19:27:10","6"
"Data Scientist","Norfolk, VA","2023-04-17 18:38:32","4"
"Data Analyst","Hyderabad, Telangana, India","2023-03-19 06:31:36","3"
"Data Scientist","United States","2023-12-13 18:05:24","12"
"Data Analyst","Austin, TX","2023-03-09 21:01:56","3"
"Senior Data Analyst","Stockholm, Sweden","2023-04-21 15:32:08","4"
"Senior Data Engineer","Rosslyn, VA","2023-05-28 14:45:09","5"
"Data Engineer","Madrid, Spain","2023-03-22 07:35:34","3"
"Data Engineer","Des Moines, IA","2023-03-30 00:54:18","3"
"Cloud Engineer","Kuwait City, Kuwait","2023-07-30 17:49:18","7"
"Data Scientist","Stamford, CT","2023-01-15 16:00:20","1"
"Data Engineer","Anywhere","2023-10-09 07:42:18","10"
"Data Engineer","Charleston, WV","2023-09-10 07:06:45","9"
